,air_area_name,encode_air_area_name
5757,Tōkyō-to Shibuya-ku Dōgenzaka,52
5758,Tōkyō-to Shibuya-ku Jingūmae,53
5759,Tōkyō-to Shibuya-ku Shibuya,54
5760,Tōkyō-to Shinagawa-ku Higashigotanda,55
5761,Tōkyō-to Shinagawa-ku Hiromachi,56
5762,Tōkyō-to Shinjuku-ku Kabukichō,57
5763,Tōkyō-to Shinjuku-ku Nishishinjuku,58
5764,Tōkyō-to Suginami-ku Asagayaminami,59
5765,Tōkyō-to Tachikawa-shi Izumichō,60
5766,Tōkyō-to Taitō-ku Higashiueno,61
5767,Tōkyō-to Taitō-ku Kuramae,62
5768,Tōkyō-to Toshima-ku Higashiikebukuro,63
5769,Tōkyō-to Toshima-ku Mejiro,64
5770,Tōkyō-to Toshima-ku Minamiikebukuro,65
5771,Tōkyō-to Toshima-ku Nishiikebukuro,66
5772,Tōkyō-to Ōta-ku Kamata,67
5773,Tōkyō-to Ōta-ku Kamiikedai,68
5774,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
5775,Ōsaka-fu Neyagawa-shi Honmachi,70
5776,Ōsaka-fu Sakai-shi Minamikawaramachi,71
5777,Ōsaka-fu Ōsaka-shi Fuminosato,72
5778,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
5779,Ōsaka-fu Ōsaka-shi Nakanochō,75
5780,Ōsaka-fu Ōsaka-shi Shinmachi,76
5781,Ōsaka-fu Ōsaka-shi Ōgimachi,77
5782,Fukuoka-ken Fukuoka-shi Daimyō,0
5783,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
5784,Fukuoka-ken Fukuoka-shi Momochi,2
5785,Fukuoka-ken Fukuoka-shi Shiobaru,3
5786,Fukuoka-ken Fukuoka-shi Takatori,4
5787,Fukuoka-ken Fukuoka-shi Torikai,5
5788,Fukuoka-ken Itoshima-shi Maebarunishi,6
5789,Fukuoka-ken Kitakyūshū-shi None,7
5790,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
5791,Fukuoka-ken Kurume-shi Jōnanmachi,9
5792,Fukuoka-ken Yame-shi Motomachi,10
5793,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
5794,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
5795,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
5796,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
5797,Hokkaidō Asahikawa-shi 6 Jōdōri,15
5798,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
5799,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
5800,Hyōgo-ken Himeji-shi Yasuda,18
5801,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
5802,Hyōgo-ken Kōbe-shi Kumoidōri,20
5803,Hyōgo-ken Kōbe-shi Motomachidōri,21
5804,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
5805,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
5806,Hyōgo-ken Takarazuka-shi Tōyōchō,24
5807,Miyagi-ken Sendai-shi Kamisugi,25
5808,Niigata-ken Nagaoka-shi Ōtedōri,26
5809,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
5810,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
5811,Shizuoka-ken Numazu-shi Miyukichō,29
5812,Shizuoka-ken Shizuoka-shi Ōtemachi,30
5813,Tōkyō-to Bunkyō-ku Kasuga,31
5814,Tōkyō-to Bunkyō-ku Sendagi,32
5815,Tōkyō-to Chiyoda-ku Kudanminami,33
5816,Tōkyō-to Chūō-ku Ginza,34
5817,Tōkyō-to Chūō-ku Tsukiji,35
5818,Tōkyō-to Itabashi-ku Itabashi,36
5819,Tōkyō-to Katsushika-ku Tateishi,37
5820,Tōkyō-to Kita-ku Ōjihonchō,38
5821,Tōkyō-to Koganei-shi Honchō,39
5822,Tōkyō-to Kōtō-ku Kameido,40
5823,Tōkyō-to Kōtō-ku Tōyō,41
5824,Tōkyō-to Machida-shi Morino,42
5825,Tōkyō-to Meguro-ku Kamimeguro,43
5826,Tōkyō-to Minato-ku Akasaka,44
5827,Tōkyō-to Minato-ku Shibakōen,46
5828,Tōkyō-to Nakano-ku Nakano,47
5829,Tōkyō-to Nerima-ku Toyotamakita,48
5830,Tōkyō-to Setagaya-ku Okusawa,49
5831,Tōkyō-to Setagaya-ku Sangenjaya,50
5832,Tōkyō-to Setagaya-ku Setagaya,51
5833,Tōkyō-to Shibuya-ku Dōgenzaka,52
5834,Tōkyō-to Shibuya-ku Jingūmae,53
5835,Tōkyō-to Shibuya-ku Shibuya,54
5836,Tōkyō-to Shinagawa-ku Higashigotanda,55
5837,Tōkyō-to Shinagawa-ku Hiromachi,56
5838,Tōkyō-to Shinjuku-ku Kabukichō,57
5839,Tōkyō-to Shinjuku-ku Nishishinjuku,58
5840,Tōkyō-to Suginami-ku Asagayaminami,59
5841,Tōkyō-to Tachikawa-shi Izumichō,60
5842,Tōkyō-to Taitō-ku Higashiueno,61
5843,Tōkyō-to Taitō-ku Kuramae,62
5844,Tōkyō-to Toshima-ku Higashiikebukuro,63
5845,Tōkyō-to Toshima-ku Mejiro,64
5846,Tōkyō-to Toshima-ku Minamiikebukuro,65
5847,Tōkyō-to Toshima-ku Nishiikebukuro,66
5848,Tōkyō-to Ōta-ku Kamata,67
5849,Tōkyō-to Ōta-ku Kamiikedai,68
5850,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
5851,Ōsaka-fu Neyagawa-shi Honmachi,70
5852,Ōsaka-fu Sakai-shi Minamikawaramachi,71
5853,Ōsaka-fu Ōsaka-shi Fuminosato,72
5854,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
5855,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
5856,Ōsaka-fu Ōsaka-shi Nakanochō,75
5857,Ōsaka-fu Ōsaka-shi Shinmachi,76
5858,Ōsaka-fu Ōsaka-shi Ōgimachi,77
5859,Fukuoka-ken Fukuoka-shi Daimyō,0
5860,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
5861,Fukuoka-ken Fukuoka-shi Momochi,2
5862,Fukuoka-ken Fukuoka-shi Shiobaru,3
5863,Fukuoka-ken Fukuoka-shi Takatori,4
5864,Fukuoka-ken Fukuoka-shi Torikai,5
5865,Fukuoka-ken Itoshima-shi Maebarunishi,6
5866,Fukuoka-ken Kitakyūshū-shi None,7
5867,Fukuoka-ken Kurume-shi Jōnanmachi,9
5868,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
5869,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
5870,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
5871,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
5872,Hokkaidō Asahikawa-shi 6 Jōdōri,15
5873,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
5874,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
5875,Hyōgo-ken Himeji-shi Yasuda,18
5876,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
5877,Hyōgo-ken Kōbe-shi Kumoidōri,20
5878,Hyōgo-ken Kōbe-shi Motomachidōri,21
5879,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
5880,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
5881,Hyōgo-ken Takarazuka-shi Tōyōchō,24
5882,Miyagi-ken Sendai-shi Kamisugi,25
5883,Niigata-ken Nagaoka-shi Ōtedōri,26
5884,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
5885,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
5886,Shizuoka-ken Shizuoka-shi Ōtemachi,30
5887,Tōkyō-to Bunkyō-ku Kasuga,31
5888,Tōkyō-to Chiyoda-ku Kudanminami,33
5889,Tōkyō-to Chūō-ku Ginza,34
5890,Tōkyō-to Chūō-ku Tsukiji,35
5891,Tōkyō-to Itabashi-ku Itabashi,36
5892,Tōkyō-to Katsushika-ku Tateishi,37
5893,Tōkyō-to Koganei-shi Honchō,39
5894,Tōkyō-to Kōtō-ku Kameido,40
5895,Tōkyō-to Kōtō-ku Tōyō,41
5896,Tōkyō-to Machida-shi Morino,42
5897,Tōkyō-to Meguro-ku Kamimeguro,43
5898,Tōkyō-to Minato-ku Akasaka,44
5899,Tōkyō-to Minato-ku Roppongi,45
5900,Tōkyō-to Minato-ku Shibakōen,46
5901,Tōkyō-to Nakano-ku Nakano,47
5902,Tōkyō-to Nerima-ku Toyotamakita,48
5903,Tōkyō-to Setagaya-ku Okusawa,49
5904,Tōkyō-to Setagaya-ku Sangenjaya,50
5905,Tōkyō-to Setagaya-ku Setagaya,51
5906,Tōkyō-to Shibuya-ku Dōgenzaka,52
5907,Tōkyō-to Shibuya-ku Jingūmae,53
5908,Tōkyō-to Shibuya-ku Shibuya,54
5909,Tōkyō-to Shinagawa-ku Hiromachi,56
5910,Tōkyō-to Shinjuku-ku Kabukichō,57
5911,Tōkyō-to Shinjuku-ku Nishishinjuku,58
5912,Tōkyō-to Suginami-ku Asagayaminami,59
5913,Tōkyō-to Taitō-ku Higashiueno,61
5914,Tōkyō-to Taitō-ku Kuramae,62
5915,Tōkyō-to Toshima-ku Higashiikebukuro,63
5916,Tōkyō-to Toshima-ku Minamiikebukuro,65
5917,Tōkyō-to Toshima-ku Nishiikebukuro,66
5918,Tōkyō-to Ōta-ku Kamata,67
5919,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
5920,Ōsaka-fu Neyagawa-shi Honmachi,70
5921,Ōsaka-fu Ōsaka-shi Fuminosato,72
5922,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
5923,Ōsaka-fu Ōsaka-shi Nakanochō,75
5924,Ōsaka-fu Ōsaka-shi Shinmachi,76
5925,Ōsaka-fu Ōsaka-shi Ōgimachi,77
5926,Fukuoka-ken Fukuoka-shi Daimyō,0
5927,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
5928,Fukuoka-ken Fukuoka-shi Momochi,2
5929,Fukuoka-ken Fukuoka-shi Shiobaru,3
5930,Fukuoka-ken Fukuoka-shi Takatori,4
5931,Fukuoka-ken Fukuoka-shi Torikai,5
5932,Fukuoka-ken Itoshima-shi Maebarunishi,6
5933,Fukuoka-ken Kitakyūshū-shi None,7
5934,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
5935,Fukuoka-ken Kurume-shi Jōnanmachi,9
5936,Fukuoka-ken Yame-shi Motomachi,10
5937,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
5938,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
5939,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
5940,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
5941,Hokkaidō Asahikawa-shi 6 Jōdōri,15
5942,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
5943,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
5944,Hyōgo-ken Himeji-shi Yasuda,18
5945,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
5946,Hyōgo-ken Kōbe-shi Kumoidōri,20
5947,Hyōgo-ken Kōbe-shi Motomachidōri,21
5948,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
5949,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
5950,Hyōgo-ken Takarazuka-shi Tōyōchō,24
5951,Miyagi-ken Sendai-shi Kamisugi,25
5952,Niigata-ken Nagaoka-shi Ōtedōri,26
5953,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
5954,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
5955,Shizuoka-ken Numazu-shi Miyukichō,29
5956,Shizuoka-ken Shizuoka-shi Ōtemachi,30
5957,Tōkyō-to Bunkyō-ku Kasuga,31
5958,Tōkyō-to Bunkyō-ku Sendagi,32
5959,Tōkyō-to Chiyoda-ku Kudanminami,33
5960,Tōkyō-to Chūō-ku Ginza,34
5961,Tōkyō-to Chūō-ku Tsukiji,35
5962,Tōkyō-to Itabashi-ku Itabashi,36
5963,Tōkyō-to Katsushika-ku Tateishi,37
5964,Tōkyō-to Kita-ku Ōjihonchō,38
5965,Tōkyō-to Koganei-shi Honchō,39
5966,Tōkyō-to Kōtō-ku Kameido,40
5967,Tōkyō-to Kōtō-ku Tōyō,41
5968,Tōkyō-to Machida-shi Morino,42
5969,Tōkyō-to Meguro-ku Kamimeguro,43
5970,Tōkyō-to Minato-ku Akasaka,44
5971,Tōkyō-to Minato-ku Roppongi,45
5972,Tōkyō-to Minato-ku Shibakōen,46
5973,Tōkyō-to Nakano-ku Nakano,47
5974,Tōkyō-to Nerima-ku Toyotamakita,48
5975,Tōkyō-to Setagaya-ku Okusawa,49
5976,Tōkyō-to Setagaya-ku Sangenjaya,50
5977,Tōkyō-to Setagaya-ku Setagaya,51
5978,Tōkyō-to Shibuya-ku Dōgenzaka,52
5979,Tōkyō-to Shibuya-ku Jingūmae,53
5980,Tōkyō-to Shibuya-ku Shibuya,54
5981,Tōkyō-to Shinagawa-ku Higashigotanda,55
5982,Tōkyō-to Shinagawa-ku Hiromachi,56
5983,Tōkyō-to Shinjuku-ku Kabukichō,57
5984,Tōkyō-to Shinjuku-ku Nishishinjuku,58
5985,Tōkyō-to Suginami-ku Asagayaminami,59
5986,Tōkyō-to Tachikawa-shi Izumichō,60
5987,Tōkyō-to Taitō-ku Higashiueno,61
5988,Tōkyō-to Taitō-ku Kuramae,62
5989,Tōkyō-to Toshima-ku Higashiikebukuro,63
5990,Tōkyō-to Toshima-ku Mejiro,64
5991,Tōkyō-to Toshima-ku Minamiikebukuro,65
5992,Tōkyō-to Toshima-ku Nishiikebukuro,66
5993,Tōkyō-to Ōta-ku Kamata,67
5994,Tōkyō-to Ōta-ku Kamiikedai,68
5995,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
5996,Ōsaka-fu Neyagawa-shi Honmachi,70
5997,Ōsaka-fu Sakai-shi Minamikawaramachi,71
5998,Ōsaka-fu Ōsaka-shi Fuminosato,72
5999,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
6000,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
6001,Ōsaka-fu Ōsaka-shi Nakanochō,75
6002,Ōsaka-fu Ōsaka-shi Shinmachi,76
6003,Ōsaka-fu Ōsaka-shi Ōgimachi,77
6004,Fukuoka-ken Fukuoka-shi Daimyō,0
6005,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
6006,Fukuoka-ken Fukuoka-shi Momochi,2
6007,Fukuoka-ken Fukuoka-shi Shiobaru,3
6008,Fukuoka-ken Fukuoka-shi Takatori,4
6009,Fukuoka-ken Fukuoka-shi Torikai,5
6010,Fukuoka-ken Itoshima-shi Maebarunishi,6
6011,Fukuoka-ken Kitakyūshū-shi None,7
6012,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
6013,Fukuoka-ken Kurume-shi Jōnanmachi,9
6014,Fukuoka-ken Yame-shi Motomachi,10
6015,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
6016,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
6017,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
6018,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
6019,Hokkaidō Asahikawa-shi 6 Jōdōri,15
6020,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
6021,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
6022,Hyōgo-ken Himeji-shi Yasuda,18
6023,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
6024,Hyōgo-ken Kōbe-shi Kumoidōri,20
6025,Hyōgo-ken Kōbe-shi Motomachidōri,21
6026,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
6027,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
6028,Hyōgo-ken Takarazuka-shi Tōyōchō,24
6029,Miyagi-ken Sendai-shi Kamisugi,25
6030,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
6031,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
6032,Shizuoka-ken Numazu-shi Miyukichō,29
6033,Shizuoka-ken Shizuoka-shi Ōtemachi,30
6034,Tōkyō-to Bunkyō-ku Kasuga,31
6035,Tōkyō-to Bunkyō-ku Sendagi,32
6036,Tōkyō-to Chiyoda-ku Kudanminami,33
6037,Tōkyō-to Chūō-ku Ginza,34
6038,Tōkyō-to Chūō-ku Tsukiji,35
6039,Tōkyō-to Itabashi-ku Itabashi,36
6040,Tōkyō-to Katsushika-ku Tateishi,37
6041,Tōkyō-to Kita-ku Ōjihonchō,38
6042,Tōkyō-to Koganei-shi Honchō,39
6043,Tōkyō-to Kōtō-ku Kameido,40
6044,Tōkyō-to Kōtō-ku Tōyō,41
6045,Tōkyō-to Machida-shi Morino,42
6046,Tōkyō-to Meguro-ku Kamimeguro,43
6047,Tōkyō-to Minato-ku Roppongi,45
6048,Tōkyō-to Minato-ku Shibakōen,46
6049,Tōkyō-to Nakano-ku Nakano,47
6050,Tōkyō-to Nerima-ku Toyotamakita,48
6051,Tōkyō-to Setagaya-ku Okusawa,49
6052,Tōkyō-to Setagaya-ku Sangenjaya,50
6053,Tōkyō-to Setagaya-ku Setagaya,51
6054,Tōkyō-to Shibuya-ku Dōgenzaka,52
6055,Tōkyō-to Shibuya-ku Jingūmae,53
6056,Tōkyō-to Shibuya-ku Shibuya,54
6057,Tōkyō-to Shinagawa-ku Higashigotanda,55
6058,Tōkyō-to Shinjuku-ku Kabukichō,57
6059,Tōkyō-to Shinjuku-ku Nishishinjuku,58
6060,Tōkyō-to Suginami-ku Asagayaminami,59
6061,Tōkyō-to Tachikawa-shi Izumichō,60
6062,Tōkyō-to Taitō-ku Higashiueno,61
6063,Tōkyō-to Toshima-ku Higashiikebukuro,63
6064,Tōkyō-to Toshima-ku Mejiro,64
6065,Tōkyō-to Toshima-ku Minamiikebukuro,65
6066,Tōkyō-to Toshima-ku Nishiikebukuro,66
6067,Tōkyō-to Ōta-ku Kamata,67
6068,Tōkyō-to Ōta-ku Kamiikedai,68
6069,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
6070,Ōsaka-fu Neyagawa-shi Honmachi,70
6071,Ōsaka-fu Sakai-shi Minamikawaramachi,71
6072,Ōsaka-fu Ōsaka-shi Fuminosato,72
6073,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
6074,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
6075,Ōsaka-fu Ōsaka-shi Nakanochō,75
6076,Ōsaka-fu Ōsaka-shi Shinmachi,76
6077,Ōsaka-fu Ōsaka-shi Ōgimachi,77
6078,Fukuoka-ken Fukuoka-shi Daimyō,0
6079,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
6080,Fukuoka-ken Fukuoka-shi Momochi,2
6081,Fukuoka-ken Fukuoka-shi Shiobaru,3
6082,Fukuoka-ken Fukuoka-shi Takatori,4
6083,Fukuoka-ken Fukuoka-shi Torikai,5
6084,Fukuoka-ken Kitakyūshū-shi None,7
6085,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
6086,Fukuoka-ken Kurume-shi Jōnanmachi,9
6087,Fukuoka-ken Yame-shi Motomachi,10
6088,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
6089,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
6090,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
6091,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
6092,Hokkaidō Asahikawa-shi 6 Jōdōri,15
6093,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
6094,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
6095,Hyōgo-ken Himeji-shi Yasuda,18
6096,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
6097,Hyōgo-ken Kōbe-shi Kumoidōri,20
6098,Hyōgo-ken Kōbe-shi Motomachidōri,21
6099,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
6100,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
6101,Hyōgo-ken Takarazuka-shi Tōyōchō,24
6102,Miyagi-ken Sendai-shi Kamisugi,25
6103,Niigata-ken Nagaoka-shi Ōtedōri,26
6104,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
6105,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
6106,Shizuoka-ken Numazu-shi Miyukichō,29
6107,Tōkyō-to Bunkyō-ku Kasuga,31
6108,Tōkyō-to Bunkyō-ku Sendagi,32
6109,Tōkyō-to Chiyoda-ku Kudanminami,33
6110,Tōkyō-to Chūō-ku Ginza,34
6111,Tōkyō-to Chūō-ku Tsukiji,35
6112,Tōkyō-to Itabashi-ku Itabashi,36
6113,Tōkyō-to Katsushika-ku Tateishi,37
6114,Tōkyō-to Kita-ku Ōjihonchō,38
6115,Tōkyō-to Koganei-shi Honchō,39
6116,Tōkyō-to Kōtō-ku Kameido,40
6117,Tōkyō-to Kōtō-ku Tōyō,41
6118,Tōkyō-to Machida-shi Morino,42
6119,Tōkyō-to Meguro-ku Kamimeguro,43
6120,Tōkyō-to Minato-ku Akasaka,44
6121,Tōkyō-to Minato-ku Roppongi,45
6122,Tōkyō-to Minato-ku Shibakōen,46
6123,Tōkyō-to Nakano-ku Nakano,47
6124,Tōkyō-to Nerima-ku Toyotamakita,48
6125,Tōkyō-to Setagaya-ku Sangenjaya,50
6126,Tōkyō-to Setagaya-ku Setagaya,51
6127,Tōkyō-to Shibuya-ku Dōgenzaka,52
6128,Tōkyō-to Shibuya-ku Jingūmae,53
6129,Tōkyō-to Shibuya-ku Shibuya,54
6130,Tōkyō-to Shinagawa-ku Higashigotanda,55
6131,Tōkyō-to Shinagawa-ku Hiromachi,56
6132,Tōkyō-to Shinjuku-ku Kabukichō,57
6133,Tōkyō-to Shinjuku-ku Nishishinjuku,58
6134,Tōkyō-to Suginami-ku Asagayaminami,59
6135,Tōkyō-to Taitō-ku Higashiueno,61
6136,Tōkyō-to Taitō-ku Kuramae,62
6137,Tōkyō-to Toshima-ku Higashiikebukuro,63
6138,Tōkyō-to Toshima-ku Mejiro,64
6139,Tōkyō-to Toshima-ku Minamiikebukuro,65
6140,Tōkyō-to Toshima-ku Nishiikebukuro,66
6141,Tōkyō-to Ōta-ku Kamata,67
6142,Tōkyō-to Ōta-ku Kamiikedai,68
6143,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
6144,Ōsaka-fu Neyagawa-shi Honmachi,70
6145,Ōsaka-fu Sakai-shi Minamikawaramachi,71
6146,Ōsaka-fu Ōsaka-shi Fuminosato,72
6147,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
6148,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
6149,Ōsaka-fu Ōsaka-shi Nakanochō,75
6150,Ōsaka-fu Ōsaka-shi Shinmachi,76
6151,Ōsaka-fu Ōsaka-shi Ōgimachi,77
6152,Fukuoka-ken Fukuoka-shi Daimyō,0
6153,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
6154,Fukuoka-ken Fukuoka-shi Momochi,2
6155,Fukuoka-ken Fukuoka-shi Shiobaru,3
6156,Fukuoka-ken Fukuoka-shi Torikai,5
6157,Fukuoka-ken Kitakyūshū-shi None,7
6158,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
6159,Fukuoka-ken Kurume-shi Jōnanmachi,9
6160,Fukuoka-ken Yame-shi Motomachi,10
6161,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
6162,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
6163,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
6164,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
6165,Hokkaidō Asahikawa-shi 6 Jōdōri,15
6166,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
6167,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
6168,Hyōgo-ken Himeji-shi Yasuda,18
6169,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
6170,Hyōgo-ken Kōbe-shi Kumoidōri,20
6171,Hyōgo-ken Kōbe-shi Motomachidōri,21
6172,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
6173,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
6174,Hyōgo-ken Takarazuka-shi Tōyōchō,24
6175,Miyagi-ken Sendai-shi Kamisugi,25
6176,Niigata-ken Nagaoka-shi Ōtedōri,26
6177,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
6178,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
6179,Shizuoka-ken Numazu-shi Miyukichō,29
6180,Shizuoka-ken Shizuoka-shi Ōtemachi,30
6181,Tōkyō-to Bunkyō-ku Kasuga,31
6182,Tōkyō-to Bunkyō-ku Sendagi,32
6183,Tōkyō-to Chiyoda-ku Kudanminami,33
6184,Tōkyō-to Chūō-ku Ginza,34
6185,Tōkyō-to Chūō-ku Tsukiji,35
6186,Tōkyō-to Itabashi-ku Itabashi,36
6187,Tōkyō-to Katsushika-ku Tateishi,37
6188,Tōkyō-to Kita-ku Ōjihonchō,38
6189,Tōkyō-to Koganei-shi Honchō,39
6190,Tōkyō-to Kōtō-ku Kameido,40
6191,Tōkyō-to Kōtō-ku Tōyō,41
6192,Tōkyō-to Machida-shi Morino,42
6193,Tōkyō-to Meguro-ku Kamimeguro,43
6194,Tōkyō-to Minato-ku Akasaka,44
6195,Tōkyō-to Minato-ku Roppongi,45
6196,Tōkyō-to Minato-ku Shibakōen,46
6197,Tōkyō-to Nakano-ku Nakano,47
6198,Tōkyō-to Nerima-ku Toyotamakita,48
6199,Tōkyō-to Setagaya-ku Okusawa,49
6200,Tōkyō-to Setagaya-ku Sangenjaya,50
6201,Tōkyō-to Setagaya-ku Setagaya,51
6202,Tōkyō-to Shibuya-ku Dōgenzaka,52
6203,Tōkyō-to Shibuya-ku Jingūmae,53
6204,Tōkyō-to Shibuya-ku Shibuya,54
6205,Tōkyō-to Shinagawa-ku Higashigotanda,55
6206,Tōkyō-to Shinagawa-ku Hiromachi,56
6207,Tōkyō-to Shinjuku-ku Kabukichō,57
6208,Tōkyō-to Shinjuku-ku Nishishinjuku,58
6209,Tōkyō-to Suginami-ku Asagayaminami,59
6210,Tōkyō-to Taitō-ku Higashiueno,61
6211,Tōkyō-to Taitō-ku Kuramae,62
6212,Tōkyō-to Toshima-ku Higashiikebukuro,63
6213,Tōkyō-to Toshima-ku Mejiro,64
6214,Tōkyō-to Toshima-ku Minamiikebukuro,65
6215,Tōkyō-to Toshima-ku Nishiikebukuro,66
6216,Tōkyō-to Ōta-ku Kamata,67
6217,Tōkyō-to Ōta-ku Kamiikedai,68
6218,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
6219,Ōsaka-fu Neyagawa-shi Honmachi,70
6220,Ōsaka-fu Sakai-shi Minamikawaramachi,71
6221,Ōsaka-fu Ōsaka-shi Fuminosato,72
6222,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
6223,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
6224,Ōsaka-fu Ōsaka-shi Nakanochō,75
6225,Ōsaka-fu Ōsaka-shi Shinmachi,76
6226,Ōsaka-fu Ōsaka-shi Ōgimachi,77
6227,Fukuoka-ken Fukuoka-shi Daimyō,0
6228,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
6229,Fukuoka-ken Fukuoka-shi Momochi,2
6230,Fukuoka-ken Fukuoka-shi Shiobaru,3
6231,Fukuoka-ken Fukuoka-shi Takatori,4
6232,Fukuoka-ken Fukuoka-shi Torikai,5
6233,Fukuoka-ken Itoshima-shi Maebarunishi,6
