,article,ds,holiday_flg,y
3924,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-30,0,51
3925,Fukuoka-ken Itoshima-shi Maebarunishi,2017-01-31,0,73
3926,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-01,0,77
3927,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-02,0,78
3928,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-03,0,54
3929,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-04,0,175
3930,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-05,0,145
3931,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-06,0,68
3932,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-07,0,79
3933,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-08,0,74
3934,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-09,0,74
3935,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-10,0,43
3936,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-11,1,134
3937,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-12,0,238
3938,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-13,0,64
3939,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-14,0,33
3940,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-15,0,100
3941,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-16,0,75
3942,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-17,0,73
3943,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-18,0,199
3944,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-19,0,334
3945,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-20,0,79
3946,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-21,0,83
3947,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-22,0,87
3948,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-23,0,100
3949,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-24,0,74
3950,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-25,0,187
3951,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-26,0,264
3952,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-27,0,107
3953,Fukuoka-ken Itoshima-shi Maebarunishi,2017-02-28,0,90
3954,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-01,0,90
3955,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-02,0,109
3956,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-03,0,70
3957,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-04,0,255
3958,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-05,0,297
3959,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-06,0,103
3960,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-07,0,76
3961,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-08,0,91
3962,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-09,0,111
3963,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-10,0,54
3964,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-11,0,244
3965,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-12,0,330
3966,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-13,0,86
3967,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-14,0,40
3968,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-15,0,95
3969,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-16,0,90
3970,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-17,0,177
3971,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-18,0,192
3972,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-19,0,421
3973,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-20,1,162
3974,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-21,0,48
3975,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-22,0,94
3976,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-23,0,104
3977,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-24,0,80
3978,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-25,0,182
3979,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-26,0,252
3980,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-27,0,96
3981,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-28,0,85
3982,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-29,0,83
3983,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-30,0,122
3984,Fukuoka-ken Itoshima-shi Maebarunishi,2017-03-31,0,43
3985,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-01,0,174
3986,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-02,0,233
3987,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-03,0,97
3988,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-04,0,57
3989,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-05,0,84
3990,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-06,0,67
3991,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-07,0,48
3992,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-08,0,154
3993,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-09,0,197
3994,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-10,0,52
3995,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-11,0,39
3996,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-12,0,107
3997,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-13,0,118
3998,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-14,0,102
3999,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-15,0,190
4000,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-16,0,332
4001,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-17,0,42
4002,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-18,0,66
4003,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-19,0,135
4004,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-20,0,101
4005,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-21,0,70
4006,Fukuoka-ken Itoshima-shi Maebarunishi,2017-04-22,0,195
